,class_one,job_company,job_edu,job_area,low_salary_1,low_salary_10,low_salary_11,low_salary_12,low_salary_13,low_salary_14,low_salary_15,low_salary_16,low_salary_17,low_salary_18,low_salary_2,low_salary_20,low_salary_21,low_salary_22,low_salary_25,low_salary_3,low_salary_30,low_salary_35,low_salary_4,low_salary_40,low_salary_5,low_salary_50,low_salary_6,low_salary_60,low_salary_6ртио,low_salary_7,low_salary_8,low_salary_9,low_salary_90,low_salary_low_salary,low _year_0,low _year_1,low _year_3,low _year_5,low _year_low _year,second_time_1507392000,second_time_1507478400,second_time_1507564800,second_time_1507651200,second_time_1507737600,second_time_1507824000,second_time_1507910400,second_time_1508083200,second_time_1508169600,second_time_1508256000,second_time_1508342400,second_time_1508428800,second_time_1508515200,second_time_1508601600,second_time_1508688000,second_time_1508774400,second_time_1508860800,second_time_1508947200,second_time_1509033600,second_time_1509120000,second_time_1509206400,second_time_1509292800,second_time_1509379200,second_time_1509465600,second_time_1509552000,second_time_1509638400,second_time_1509724800,second_time_1509897600,second_time_1509984000,second_time_1510070400,second_time_1510070700,second_time_1510080720,second_time_1510093380,second_time_1510096320,second_time_1510098780,second_time_1510099920,second_time_1510100400,second_time_1510100520,second_time_1510100700,second_time_1510101060,second_time_1510101120,second_time_1510101180,second_time_1510101360,second_time_1510101420,second_time_1510101480,second_time_1510101900,second_time_1510101960,second_time_1510102080,second_time_1510102260,second_time_1510102320,second_time_1510102500,second_time_1510102620,second_time_1510102680,second_time_1510102740,second_time_1510102800,second_time_1510102860,second_time_1510102920,second_time_1510103040,second_time_1510103220,second_time_1510103280,second_time_1510103340,second_time_1510103460,second_time_1510103520,second_time_1510103580,second_time_1510103640,second_time_1510103700,second_time_1510103760,second_time_1510103820,second_time_1510103880,second_time_1510103940,second_time_1510104000,second_time_1510104060,second_time_1510104120,second_time_1510104180,second_time_1510104240,second_time_1510104300,second_time_1510104360,second_time_1510104420,second_time_1510104480,second_time_1510104540,second_time_1510104600,second_time_1510104660,second_time_1510104720,second_time_1510104780,second_time_1510104840,second_time_1510104900,second_time_1510104960,second_time_1510105020,second_time_1510105080,second_time_1510105140,second_time_1510105200,second_time_1510105260,second_time_1510105320,second_time_1510105380,second_time_1510105440,second_time_1510105500,second_time_1510105560,second_time_1510105620,second_time_1510105680,second_time_1510105740,second_time_1510105800,second_time_1510105860,second_time_1510105920,second_time_1510105980,second_time_1510106040,second_time_1510106160,second_time_1510106220,second_time_1510106280,second_time_1510106400,second_time_1510106460,second_time_1510106520,second_time_1510106580,second_time_1510106640,second_time_1510106700,second_time_1510106760,second_time_1510106820,second_time_1510106880,second_time_1510106940,second_time_1510107000,second_time_1510107060,second_time_1510107120,second_time_1510107180,second_time_1510107240,second_time_1510107300,second_time_1510107360,second_time_1510107420,second_time_1510107480,second_time_1510107540,second_time_1510107600,second_time_1510107660,second_time_1510107720,second_time_1510107780,second_time_1510107840,second_time_1510107900,second_time_1510107960,second_time_1510108020,second_time_1510108080,second_time_1510108140,second_time_1510108200,second_time_1510108260,second_time_1510108320,second_time_1510108380,second_time_1510108440,second_time_1510108500,second_time_1510108620,second_time_1510108680,second_time_1510108740,second_time_1510108800,second_time_1510108860,second_time_1510108980,second_time_1510109160,second_time_1510109220,second_time_1510109280,second_time_1510109340,second_time_1510109400,second_time_1510109460,second_time_1510109520,second_time_1510109580,second_time_1510109640,second_time_1510109700,second_time_1510109760,second_time_1510109820,second_time_1510109880,second_time_1510109940,second_time_1510110000,second_time_1510110060,second_time_1510110120,second_time_1510110240,second_time_1510110360,second_time_1510110480,second_time_1510110540,second_time_1510110600,second_time_1510110660,second_time_1510110720,second_time_1510110780,second_time_1510110900,second_time_1510110960,second_time_1510111020,second_time_1510111080,second_time_1510111200,second_time_1510111260,second_time_1510111380,second_time_1510111440,second_time_1510111500,second_time_1510111560,second_time_1510111620,second_time_1510111680,second_time_1510111800,second_time_1510111860,second_time_1510111920,second_time_1510111980,second_time_1510112040,second_time_1510112100,second_time_1510112160,second_time_1510112280,second_time_1510112340,second_time_1510112460,second_time_1510112520,second_time_1510112580,second_time_1510112640,second_time_1510112700,second_time_1510112820,second_time_1510112880,second_time_1510113060,second_time_1510113240,second_time_1510113300,second_time_1510113360,second_time_1510113480,second_time_1510113540,second_time_1510113660,second_time_1510113780,second_time_1510113900,second_time_1510114140,second_time_1510114560,second_time_1510114800,second_time_1510115100,second_time_1510115160,second_time_1510115340,second_time_1510116600,second_time_1510117140,second_time_1510117320,second_time_1510117440,second_time_1510117500,second_time_1510117560,second_time_1510118340,second_time_1510118520,second_time_1510118580,second_time_1510118700,second_time_1510119000,second_time_1510119060,second_time_1510119120,second_time_1510119300,second_time_1510119420,second_time_1510119480,second_time_1510119540,second_time_1510119780,second_time_1510119900,second_time_1510120020,second_time_1510120080,second_time_1510120140,second_time_1510120200,second_time_1510120320,second_time_1510120380,second_time_1510120500,second_time_1510120620,second_time_1510120740,second_time_1510120800,second_time_1510120860,second_time_1510120920,second_time_1510121100,second_time_1510121280,second_time_1510121400,second_time_1510121520,second_time_1510121640,second_time_1510121700,second_time_1510121820,second_time_1510121880,second_time_1510122060,second_time_1510122120,second_time_1510122240,second_time_1510122300,second_time_1510122480,second_time_1510122540,second_time_1510122720,second_time_1510122900,second_time_1510123020,second_time_1510123080,second_time_1510123200,second_time_1510123260,second_time_1510123320,second_time_1510123500,second_time_1510123680,second_time_1510123740,second_time_1510123920,second_time_1510124040,second_time_1510124280,second_time_1510124400,second_time_1510124640,second_time_1510124880,second_time_1510125000,second_time_1510125540,second_time_1510125600,second_time_1510126140,second_time_1510126260,second_time_1510126320,second_time_1510126380,second_time_1510126500,second_time_1510126560,second_time_1510126800,second_time_1510126860,second_time_1510126920,second_time_1510127100,second_time_1510127160,second_time_1510127220,second_time_1510127400,second_time_1510127460,second_time_1510127520,second_time_1510127640,second_time_1510127760,second_time_1510127820,second_time_1510127880,second_time_1510127940,second_time_1510128060,second_time_1510128300,second_time_1510128420,second_time_1510128540,second_time_1510128600,second_time_1510128660,second_time_1510128720,second_time_1510128840,second_time_1510128960,second_time_1510129020,second_time_1510129080,second_time_1510129140,second_time_1510129200,second_time_1510129320,second_time_1510129440,second_time_1510129500,second_time_1510129680,second_time_1510129740,second_time_1510129800,second_time_1510129920,second_time_1510129980,second_time_1510130040,second_time_1510130280,second_time_1510130340,second_time_1510130520,second_time_1510130580,second_time_1510130640,second_time_1510130700,second_time_1510130820,second_time_1510130880,second_time_1510131120,second_time_1510131240,second_time_1510131300,second_time_1510131420,second_time_1510131480,second_time_1510131600,second_time_1510131660,second_time_1510131780,second_time_1510131840,second_time_1510131900,second_time_1510131960,second_time_1510132020,second_time_1510132080,second_time_1510132140,second_time_1510132200,second_time_1510132260,second_time_1510132320,second_time_1510132380,second_time_1510132440,second_time_1510132500,second_time_1510132560,second_time_1510132680,second_time_1510132800,second_time_1510132920,second_time_1510132980,second_time_1510133100,second_time_1510133160,second_time_1510133220,second_time_1510133400,second_time_1510133520,second_time_1510133580,second_time_1510133640,second_time_1510133760,second_time_1510133820,second_time_1510133940,second_time_1510134000,second_time_1510134060,second_time_1510134360,second_time_1510134480,second_time_1510134720,second_time_1510134780,second_time_1510135020,second_time_1510135080,second_time_1510135320,second_time_1510135500,second_time_1510135620,second_time_1510135740,second_time_1510135980,second_time_1510136580,second_time_1510136640,second_time_1510136760,second_time_1510136820,second_time_1510136940,second_time_1510137360,second_time_1510137660,second_time_1510137720,second_time_1510137840,second_time_1510137900,second_time_1510138080,second_time_1510138200,second_time_1510138500,second_time_1510138560,second_time_1510138800,second_time_1510138860,second_time_1510139220,second_time_1510139280,second_time_1510139400,second_time_1510139640,second_time_1510139940,second_time_1510140000,second_time_1510140240,second_time_1510140420,second_time_1510140720,second_time_1510140780,second_time_1510140840,second_time_1510140960,second_time_1510142820,second_time_1510143600,second_time_1510143960,second_time_1510144320,second_time_1510144440,second_time_1510145400,second_time_1510147140,second_time_second_time
558,1,17,4,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,1,597,5,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,1,631,4,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,1,89,2,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562,1,1024,4,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,1,158,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,1,363,4,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,1,94,2,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,1,939,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,1,476,2,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
